รหัส,คณะ/สาขา,มหาวิทยาลัย,สมัคร,รับ,ผ่าน,สูงสุด,ต่ำสุด,เฉลี่ย,SD
0001,คณะทันตแพทยศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,239,12,12,"26,421.5000","22,664.0000","23,321.5167","1,023.9541"
0002,คณะเภสัชศาสตร์ สาขาวิชาเภสัชกรรมอุตสาหการ,จุฬาลงกรณ์มหาวิทยาลัย,237,99,99,"21,312.0000","18,939.0000","19,846.8137",607.6049
0003,คณะเภสัชศาสตร์ สาขาวิชาการบริบาลทางเภสัชกรรม,จุฬาลงกรณ์มหาวิทยาลัย,192,93,93,"21,757.5000","18,799.0000","19,924.8172",672.0576
0004,คณะสัตวแพทยศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,350,80,80,"22,254.5000","20,120.0000","20,660.7385",446.3101
0005,คณะสหเวชศาสตร์ สาขาวิชาเทคนิคการแพทย์,จุฬาลงกรณ์มหาวิทยาลัย,409,111,111,"20,787.5000","18,508.8000","19,224.2286",458.8174
0006,คณะสหเวชศาสตร์ สาขาวิชากายภาพบำบัด,จุฬาลงกรณ์มหาวิทยาลัย,244,80,80,"21,109.5000","18,168.5000","18,898.9208",600.8786
0007,คณะสหเวชศาสตร์ สาขาวิชาโภชนาการและการกำหนดอาหาร,จุฬาลงกรณ์มหาวิทยาลัย,129,44,44,"21,774.8000","17,755.6000","18,762.9205",801.8012
0008,คณะสหเวชศาสตร์ สาขาวิชารังสีเทคนิค,จุฬาลงกรณ์มหาวิทยาลัย,134,26,26,"20,942.0000","19,401.0000","19,926.0423",460.5672
0009,คณะวิทยาศาสตร์การกีฬา,จุฬาลงกรณ์มหาวิทยาลัย,255,60,60,"20,045.0000","16,646.0000","17,480.9223",659.9031
0010,คณะวิทยาศาสตร์ สาขาวิชาคณิตศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,124,27,27,"20,047.5000","16,853.0000","17,546.8681",747.5168
0011,คณะวิทยาศาสตร์ สาขาวิชาวิทยาการคอมพิวเตอร์,จุฬาลงกรณ์มหาวิทยาลัย,205,54,54,"19,502.2000","16,568.0000","17,383.9352",640.6980
0012,คณะวิทยาศาสตร์ สาขาวิชาเคมี,จุฬาลงกรณ์มหาวิทยาลัย,270,94,94,"19,809.5000","15,891.9000","17,119.0989",726.8050
0013,คณะวิทยาศาสตร์ สาขาวิชาชีววิทยา,จุฬาลงกรณ์มหาวิทยาลัย,146,39,39,"19,307.9000","16,607.9000","17,496.0462",599.0368
0014,คณะวิทยาศาสตร์ สาขาวิชาสัตววิทยา,จุฬาลงกรณ์มหาวิทยาลัย,157,19,19,"17,815.5000","16,417.0000","16,820.1863",428.6883
0015,คณะวิทยาศาสตร์ สาขาวิชาฟิสิกส์,จุฬาลงกรณ์มหาวิทยาลัย,95,36,35,"20,998.5000","12,042.7000","16,661.5303","1,716.8415"
0016,คณะวิทยาศาสตร์ สาขาวิชาพฤกษศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,90,19,19,"18,952.5000","16,099.0000","16,850.9789",734.9454
0017,คณะวิทยาศาสตร์ สาขาวิชาพันธุศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,108,38,38,"17,845.9000","14,653.0000","15,783.8747",732.5805
0018,คณะวิทยาศาสตร์ สาขาวิชาเคมีวิศวกรรม,จุฬาลงกรณ์มหาวิทยาลัย,121,55,53,"19,473.0000","11,834.9000","16,831.7215","1,546.3258"
0019,คณะวิทยาศาสตร์ สาขาวิชาธรณีวิทยา,จุฬาลงกรณ์มหาวิทยาลัย,69,26,26,"18,329.0000","16,753.3000","17,494.0038",423.7327
0020,คณะวิทยาศาสตร์ สาขาวิชาวิทยาศาสตร์สิ่งแวดล้อม,จุฬาลงกรณ์มหาวิทยาลัย,182,39,39,"17,916.1000","15,968.9000","16,431.1410",407.1214
0021,คณะวิทยาศาสตร์ สาขาวิชาวิทยาศาสตร์ทางทะเล,จุฬาลงกรณ์มหาวิทยาลัย,96,30,30,"17,622.0000","15,469.5000","16,270.0000",681.1282
0022,คณะวิทยาศาสตร์ สาขาวิชาชีวเคมี,จุฬาลงกรณ์มหาวิทยาลัย,42,12,12,"17,914.0000","16,182.1000","17,102.1667",545.5425
0023,คณะวิทยาศาสตร์ สาขาวิชาวัสดุศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,390,74,74,"17,626.5000","15,453.0000","16,026.0149",473.1318
0024,คณะวิทยาศาสตร์ สาขาวิชาจุลชีววิทยา,จุฬาลงกรณ์มหาวิทยาลัย,215,52,52,"19,022.8000","16,092.5000","16,897.4708",638.4968
0025,คณะวิทยาศาสตร์ สาขาวิชาเทคโนโลยีทางภาพและการพิมพ์,จุฬาลงกรณ์มหาวิทยาลัย,129,44,44,"18,066.6000","15,401.2000","16,382.0136",633.6660
0026,คณะวิทยาศาสตร์ สาขาวิชาเทคโนโลยีทางอาหาร,จุฬาลงกรณ์มหาวิทยาลัย,221,78,78,"19,218.5000","16,075.0000","17,253.0769",779.8429
0027,คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,759,350,350,"24,608.5000","19,629.0000","20,860.8794",860.5804
0028,คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมทรัพยากรธรณี,จุฬาลงกรณ์มหาวิทยาลัย,80,20,20,"20,426.4500","18,146.5000","19,061.4625",567.5416
0029,คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมสำรวจ,จุฬาลงกรณ์มหาวิทยาลัย,113,35,35,"20,296.7500","18,110.0000","19,005.3726",528.4468
0030,คณะสถาปัตยกรรมศาสตร์ สาขาวิชาสถาปัตยกรรม,จุฬาลงกรณ์มหาวิทยาลัย,81,18,18,"23,125.0000","21,206.5000","21,771.2222",491.9597
0031,คณะสถาปัตยกรรมศาสตร์ สาขาวิชาการออกแบบอุตสาหกรรม,จุฬาลงกรณ์มหาวิทยาลัย,86,17,17,"21,497.0000","19,562.0000","20,216.3000",575.1194
0032,คณะสถาปัตยกรรมศาสตร์ สาขาวิชาภูมิสถาปัตยกรรม,จุฬาลงกรณ์มหาวิทยาลัย,85,24,24,"21,731.3000","19,931.5000","20,636.8250",484.1703
